p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.12451811691707	0.851	0.103	0	c1	UBE2C
3.53963074467883e-261	2.45400352001586	0.982	0.249	1.18712135915038e-256	c1	TYMS
3.15889961689552e-255	1.7366728642478	0.901	0.14	1.05943175351442e-250	c1	TRAV1-2
8.36458425397151e-248	2.89223162537033	0.66	0.076	2.80531426709696e-243	c1	CDKN3
1.65541872859688e-240	2.29202228913563	0.861	0.158	5.55194333196822e-236	c1	CENPM
2.84269860443106e-233	2.23236678397781	0.994	0.367	9.53384257954088e-229	c1	HMGB2
2.29456711823743e-232	2.47467782875297	0.748	0.118	7.69551920114469e-228	c1	ZWINT
1.90687706759838e-230	2.4889208968021	0.686	0.091	6.39528430931145e-226	c1	CENPW
2.36607359954353e-230	2.4998774805303	0.678	0.087	7.93533763814909e-226	c1	CCNA2
5.24718014658519e-224	2.02153388403028	0.869	0.165	1.75979927756174e-219	c1	CD8A
1.04999821023588e-223	2.0089967047502	0.996	0.406	3.5214839974891e-219	c1	STMN1
1.1376789412905e-220	2.48523929313295	0.781	0.145	3.81554763330008e-216	c1	CKS1B
1.95967298028472e-220	2.88178230246769	0.909	0.301	6.5723512412789e-216	c1	HIST1H4C
1.41579826678908e-219	1.96288125922963	0.779	0.123	4.74830422715722e-215	c1	PLEK
5.01713704423597e-219	2.11317395695848	0.998	0.544	1.68264742189586e-214	c1	TUBA1B
2.49706122456129e-218	1.90085150922074	1	0.663	8.37464393493365e-214	c1	H2AFZ
1.75617137345806e-217	2.07747692974046	0.757	0.122	5.88984755230365e-213	c1	NUSAP1
2.06331197804158e-213	1.71083211048442	0.968	0.251	6.91993571195585e-209	c1	GZMB
9.57320198241741e-210	2.42864752270906	0.642	0.085	3.21066048086315e-205	c1	ASF1B
2.90144142157712e-209	2.30177316398335	0.789	0.157	9.73085423968534e-205	c1	H2AFX
1.50753724819202e-208	2.35585371195783	0.714	0.119	5.05597842298639e-204	c1	TK1
1.32131136401508e-205	2.00273177141757	0.992	0.435	4.43141405263377e-201	c1	HMGN2
9.65315228919539e-205	1.92241088856876	0.998	0.628	3.23747421475035e-200	c1	TUBB
1.92942647486892e-202	2.60184629646323	0.525	0.053	6.47091051141538e-198	c1	RRM2
1.99647458174345e-199	1.97744227722455	0.978	0.372	6.69577645225119e-195	c1	TUBB4B
5.21469076816029e-199	1.78594040755434	0.974	0.257	1.7489029898256e-194	c1	HOPX
1.63477980198748e-198	2.17840955914547	0.672	0.102	5.48272449990561e-194	c1	BIRC5
8.21575270081466e-195	2.40291146910904	0.539	0.059	2.75539914079922e-190	c1	AURKB
8.72197118121763e-193	2.2142814086621	0.565	0.067	2.92517469475677e-188	c1	GTSE1
4.51741093439343e-192	1.67405332195571	0.986	0.306	1.51504927917687e-187	c1	GNLY
1.45877908764673e-191	1.08943161184247	1	0.949	4.89245330414959e-187	c1	GAPDH
3.27182448685715e-188	1.75343710832796	0.992	0.364	1.09730449640215e-183	c1	NKG7
6.24207519889573e-188	1.5146824974031	0.97	0.255	2.09346718020565e-183	c1	GZMA
5.07810124256114e-186	2.87894329364982	0.441	0.037	1.70309359473015e-181	c1	CENPA
6.18662094071924e-185	2.14969172164587	0.857	0.25	2.07486893109842e-180	c1	CKS2
7.86810802729366e-182	2.12912361995577	0.581	0.078	2.63880607019375e-177	c1	CDCA8
2.30821995697817e-180	2.02053001820788	0.65	0.103	7.7413080917134e-176	c1	CDC20
3.40792240828273e-180	2.69226805895059	0.517	0.062	1.14294901728986e-175	c1	CA2
6.8749850606766e-179	2.09448709120304	0.662	0.113	2.30573248964972e-174	c1	UBE2T
1.23256033301444e-178	2.51626588191718	0.579	0.088	4.13376084486384e-174	c1	UBE2S
2.9623294174599e-170	1.58212577235853	1	0.862	9.93506040027701e-166	c1	FTL
5.07024780495882e-168	2.14397360373049	0.551	0.078	1.70045970882709e-163	c1	TRBV6-4
3.59936883786046e-167	1.96801340183029	0.581	0.088	1.20715632084164e-162	c1	PLK1
4.06452158769832e-167	1.20455533851859	0.932	0.246	1.36315925008226e-162	c1	PRF1
1.28637863793641e-164	2.25989675798563	0.704	0.156	4.31425667591115e-160	c1	FABP5
2.75146120033353e-164	1.28257194706049	1	0.707	9.22785057367861e-160	c1	CHCHD2
1.48431506043611e-160	2.52428033251215	0.408	0.038	4.97809584969061e-156	c1	HJURP
1.42683046005917e-158	2.10480062536313	0.515	0.069	4.78530399694643e-154	c1	CDCA3
1.8834501751343e-158	2.7151377215718	0.378	0.031	6.31671519736543e-154	c1	SPC25
1.75821970924795e-157	2.03829927136813	0.708	0.163	5.89671726087578e-153	c1	SNRNP25
2.58633380967422e-157	1.71107480316064	0.942	0.348	8.6740463308854e-153	c1	DUT
3.6563545730799e-155	2.01626589273807	0.642	0.122	1.22626819671954e-150	c1	DHFR
2.69894683922446e-154	0.854795493839196	0.903	0.232	9.05172790939098e-150	c1	MKI67
3.27303357791025e-154	1.83308093988879	0.604	0.104	1.09771000135954e-149	c1	CLSPN
4.85340248888972e-154	1.57987627229575	0.98	0.439	1.62773412672383e-149	c1	C12orf75
2.65842899284427e-153	1.23768518382816	0.915	0.265	8.91583915620111e-149	c1	HPGD
2.46614338806548e-152	2.00850997802378	0.525	0.076	8.27095169489402e-148	c1	CDK1
1.38323995359233e-151	1.05464162364025	1	0.932	4.63911015635797e-147	c1	PFN1
8.81210507441481e-151	3.53781448670098	0.316	0.02	2.95540379985724e-146	c1	MYBL2
2.72578789572065e-150	1.87272985980603	0.765	0.205	9.14174744466791e-146	c1	TUBA1C
5.91274258645394e-149	1.82895878595067	0.515	0.073	1.98301560864492e-144	c1	KIFC1
2.14531024807574e-146	1.87222093178251	0.557	0.093	7.19494150999642e-142	c1	UHRF1
1.04172835760725e-145	1.69206870145403	0.845	0.259	3.49374856574319e-141	c1	TMEM106C
2.1073680958816e-145	1.64450111572477	0.449	0.055	7.0676911199677e-141	c1	S100B
