Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
E2F Targets	104/200	1.58334479485424e-87	7.75838949478578e-86	0	0	26.7738095238095	5351.15717335232	JPT1;DSCC1;BUB1B;MKI67;SMC4;CDC20;PTTG1;WDR90;STMN1;KPNA2;TMPO;LIG1;CDC25A;CDC25B;DDX39A;MELK;TIMELESS;SRSF2;ASF1B;DNMT1;RNASEH2A;CDCA3;CDCA8;HMMR;RAD51AP1;CCNB2;ORC6;RACGAP1;RAD21;BARD1;XRCC6;CBX5;PLK1;HMGA1;PA2G4;KIF18B;DIAPH3;UBE2S;CDK4;UBE2T;KIF4A;ANP32E;CDK1;MXD3;EZH2;TOP2A;MCM7;SUV39H1;HMGB2;HMGB3;PSIP1;BRCA1;CTCF;BRCA2;CKS1B;LMNB1;TK1;DLGAP5;TCF19;RFC2;TUBB;KIF22;TUBG1;SMC1A;DCK;CIT;RAD51C;ESPL1;CKS2;DEPDC1;MCM3;MCM4;BIRC5;KIF2C;MCM5;MCM6;MCM2;PCNA;AURKB;AURKA;USP1;RBBP7;E2F8;RANBP1;DUT;CDKN2C;RRM2;SPAG5;GINS4;ATAD2;NAP1L1;DEK;SSRP1;CENPE;RPA3;TACC3;CENPM;NCAPD2;TRIP13;SPC24;RAN;MAD2L1;CDKN3;SPC25
G2-M Checkpoint	88/200	7.30591546569842e-66	1.78994928909611e-64	0	0	19.0070883315158	2850.71982547065	TOP2A;JPT1;SUV39H1;CCNF;HMGB3;KIF11;CTCF;MKI67;BRCA2;SMC4;SMC2;KIF15;LMNB1;CKS1B;CDC20;MT2A;PTTG1;SNRPD1;EXO1;STMN1;PBK;NUSAP1;NEK2;FBXO5;KPNA2;HMGN2;TMPO;KIF23;KNL1;KIF22;SMC1A;CDC25A;CDC25B;CCNA2;SFPQ;DDX39A;DBF4;ESPL1;INCENP;CKS2;SRSF2;MCM3;BIRC5;KIF2C;MCM5;MCM6;KIF20B;MCM2;DTYMK;TROAP;TTK;HMMR;CENPA;AURKB;AURKA;CCNB2;ORC6;CDC45;RACGAP1;RAD21;NSD2;E2F1;RAD54L;BUB3;BUB1;BARD1;CASP8AP2;HSPA8;POLQ;CDKN2C;UBE2C;ODF2;PLK1;HMGA1;CDC6;NDC80;TPX2;CENPE;CENPF;UBE2S;CDK4;PRC1;KIF4A;TACC3;CDK1;EZH2;MAD2L1;CDKN3
Myc Targets V1	52/200	3.84002782375392e-26	6.27204544546473e-25	0	0	8.11185638192937	474.719891739882	MCM7;RPLP0;CDC20;EEF1B2;PSMD7;SNRPD2;SNRPD1;SNRPD3;KPNA2;RFC4;RPS5;RPS6;ILF2;CCNA2;SRSF2;SNRPG;SRSF3;MCM4;ERH;SNRPA1;MCM5;HPRT1;MCM6;PPIA;SNRPA;MCM2;PCNA;TYMS;COX5A;LDHA;CDC45;PCBP1;RPS3;USP1;BUB3;HNRNPA1;RANBP1;XRCC6;DUT;HNRNPA3;RRM1;PTGES3;NAP1L1;PA2G4;DEK;LSM2;CDK4;IMPDH2;HNRNPA2B1;EIF3D;RAN;MAD2L1
Mitotic Spindle	45/199	3.88754881726684e-20	4.76224730115187e-19	0	0	6.68729340623189	298.881376743438	TOP2A;CEP57;TTK;KIF11;BRCA2;SMC4;HDAC6;KIF15;LMNB1;AURKA;UXT;CCNB2;RACGAP1;EPB41L2;CNTRL;NUSAP1;NEK2;FBXO5;BUB1;DLGAP5;SAC3D1;PLK1;KIF23;KIF22;SMC1A;CKAP5;TUBA4A;NDC80;NET1;TIAM1;ANLN;TPX2;CENPE;CENPF;ESPL1;INCENP;PRC1;CDC42EP4;CENPJ;KIF4A;SASS6;CDK1;BIRC5;KIF2C;KIF20B
Spermatogenesis	20/135	1.69169579842598e-06	1.65786188245746e-05	0	0	3.87149984726606	51.4513777601408	RPL39L;GSTM3;RFC4;PARP2;STRBP;TALDO1;YBX2;TTK;HSPA2;NCAPH;AURKA;CCNB2;DBF4;CDK1;NEK2;KIF2C;CNIH2;BUB1;EZH2;CDKN3
DNA Repair	21/150	2.39185478242504e-06	1.95334807231378e-05	0	0	3.62548052018866	46.9261947810211	FEN1;DUT;RFC4;PCNA;ARL6IP1;LIG1;GPX4;RFC2;NME4;SSRP1;TYMS;ZWINT;RBX1;DDB2;POLA1;MPC2;RPA3;IMPDH2;CMPK2;HPRT1;SAC3D1
mTORC1 Signaling	20/200	0.000501364793732313	0.00350955355612619	0	0	2.46500130106687	18.7295151816539	TPI1;RRM2;CCNF;PLK1;CXCR4;TUBG1;TUBA4A;CDC25A;AURKA;DHFR;SLC9A3R1;LDHA;DDX39A;FDXR;MCM4;PHGDH;HPRT1;PPIA;BUB1;MCM2
Estrogen Response Late	19/200	0.00126827896704793	0.00776820867316859	0	0	2.32596685082873	15.5144185630736	TOP2A;RNASEH2A;CISH;IGFBP4;DCXR;IDH2;LSR;CDC6;CDC20;TIAM1;SLC9A3R1;PRKAR2B;RBBP8;PDCD4;SFN;HPRT1;KIF20A;FDFT1;MICB
Apoptosis	16/161	0.00187483227588333	0.0102074201686981	0	0	2.44108994453822	15.3281800455381	IFITM3;TOP2A;GPX4;LEF1;HMGB2;HSPB1;BRCA1;ENO2;PTK2;CDC25B;IRF1;TNFSF10;FDXR;PDCD4;CASP2;BAX
Interferon Alpha Response	11/97	0.0033711647599072	0.0165187073235453	0	0	2.82195693767011	16.0639813122123	IFITM3;LGALS3BP;IFITM1;LAMP3;IRF1;PSME1;CMPK2;PSME2;UBE2L6;PSMB8;PSMB9
