Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	73/158	2.53136739092705e-88	4.86022539057994e-86	0	0	64.1823080377189	12945.4899269985	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;FAU;RPS21;RPS24;RPS23
Coronavirus disease	74/232	5.95829330386628e-75	5.71996157171163e-73	0	0	35.0045589019836	5982.59758407677	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;IL1B;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;FAU;RPS21;RPS24;RPS23
Hematopoietic cell lineage	15/99	1.0138418911038e-10	6.48858810306431e-09	0	0	10.9268973214286	251.450897152236	HLA-DRB5;IL1R2;ITGA2B;FLT3LG;GP1BA;CD3E;IL1B;IL2RA;CD7;HLA-DPB1;HLA-DRA;CD37;HLA-DRB1;IL9R;HLA-DQB1
Th17 cell differentiation	12/107	2.39131598258034e-07	1.14783167163856e-05	0	0	7.65325077399381	116.683388513022	HLA-DRB5;LCK;IFNGR2;IL1B;IL2RA;HLA-DPB1;HLA-DRA;GATA3;CD3E;FOXP3;HLA-DRB1;HLA-DQB1
Leishmaniasis	10/77	6.17084214297164e-07	2.36960338290111e-05	0	0	9.00022962112514	128.687626174298	EEF1A1;HLA-DRB5;NCF1;NCF2;IFNGR2;IL1B;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB1
Inflammatory bowel disease	9/65	1.30626211108402e-06	4.18003875546888e-05	0	0	9.66701358457493	130.971995041854	HLA-DRB5;IFNGR2;IL1B;HLA-DPB1;HLA-DRA;GATA3;FOXP3;HLA-DRB1;HLA-DQB1
Allograft rejection	7/38	2.80604010920669e-06	6.90329701556882e-05	0	0	13.5167191188041	172.79417261671	CD40;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-A;HLA-DRB1;HLA-DQB1
Toxoplasmosis	11/112	2.87637375648701e-06	6.90329701556882e-05	0	0	6.57633541131891	83.9073331009674	HLA-DRB5;CD40;SOCS1;IFNGR2;IL10RA;HLA-DPB1;LY96;HLA-DRA;HLA-DRB1;BIRC3;HLA-DQB1
Th1 and Th2 cell differentiation	10/92	3.24920157238396e-06	6.93163002108577e-05	0	0	7.34821763602251	92.8601703604562	HLA-DRB5;LCK;IFNGR2;IL2RA;HLA-DPB1;HLA-DRA;GATA3;CD3E;HLA-DRB1;HLA-DQB1
Human T-cell leukemia virus 1 infection	15/219	4.61688627533645e-06	8.86442164864598e-05	0	0	4.47173713235294	54.9388235510717	HLA-DRB5;CD40;SPI1;IL1R2;HLA-A;CD3E;LCK;IL2RA;HLA-DPB1;TSPO;HLA-DRA;B2M;HLA-DRB1;HLA-DQB1;SLC25A6
Graft-versus-host disease	7/42	5.66354454390892e-06	9.37137642832536e-05	0	0	11.969512195122	144.609190193078	HLA-DRB5;IL1B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DRB1;HLA-DQB1
Antigen processing and presentation	9/78	6.15763993544816e-06	9.37137642832536e-05	0	0	7.84049079754601	94.0687736316865	CD74;HLA-DRB5;PSME1;HLA-DPB1;HLA-DRA;HLA-A;B2M;HLA-DRB1;HLA-DQB1
Type I diabetes mellitus	7/43	6.66836519309492e-06	9.37137642832536e-05	0	0	11.6364329268293	138.684588158662	HLA-DRB5;IL1B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DRB1;HLA-DQB1
Viral myocarditis	8/60	6.83329531232057e-06	9.37137642832536e-05	0	0	9.22747588802635	109.748862492157	CD40;HLA-DRB5;RAC2;HLA-DPB1;HLA-DRA;HLA-A;HLA-DRB1;HLA-DQB1
Asthma	6/31	1.09178770170014e-05	0.000139748825817617	0	0	14.3270516717325	163.688127269109	CD40;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB1
Rheumatoid arthritis	9/93	2.6070329724804e-05	0.000312131764199139	0	0	6.43547326906223	67.9245713303913	ATP6V1G1;HLA-DRB5;IL1B;HLA-DPB1;ACP5;HLA-DRA;ATP6V0E2;HLA-DRB1;HLA-DQB1
Autoimmune thyroid disease	7/53	2.76366666217987e-05	0.000312131764199139	0	0	9.10213414634146	95.5393419953488	CD40;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-A;HLA-DRB1;HLA-DQB1
Oxidative phosphorylation	10/133	8.30724655336746e-05	0.000886106299025862	0	0	4.88855534709193	45.9318748982173	ATP6V1G1;ATP5PD;UQCRB;COX4I1;NDUFS5;UQCR10;ATP6V0E2;COX7C;ATP5F1D;ATP5F1E
Intestinal immune network for IgA production	6/48	0.000143240903731276	0.0014038891723999	0	0	8.52062527138515	75.4159069012594	CD40;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB1
Cytokine-cytokine receptor interaction	15/295	0.000146238455458322	0.0014038891723999	0	0	3.24525669642857	28.6564993782454	IL32;CD40;IL1R2;IFNGR2;IL10RA;TNFRSF18;IL16;IL1B;IL2RA;TNFSF10;CD27;TNFRSF14;CCR4;TNFRSF4;IL9R
Diabetic cardiomyopathy	12/203	0.000169373856243339	0.00154856097136767	0	0	3.78791759194722	32.8920116451178	ATP5PD;NCF1;UQCRB;NCF2;COX4I1;NDUFS5;RAC2;UQCR10;COX7C;ATP5F1D;ATP5F1E;SLC25A6
Prion disease	14/273	0.000221703033889062	0.00193486284121363	0	0	3.26782857623979	27.4960709121821	ATP5PD;NCF1;UQCRB;NCF2;COX4I1;UQCR10;COX7C;ATP5F1D;ATP5F1E;SOD1;IL1B;NDUFS5;RAC2;SLC25A6
Phagosome	10/152	0.000249679843157118	0.0020842839080942	0	0	4.23033586132178	35.0920365838548	ATP6V1G1;HLA-DRB5;NCF1;NCF2;HLA-DPB1;HLA-DRA;HLA-A;ATP6V0E2;HLA-DRB1;HLA-DQB1
Osteoclast differentiation	9/127	0.000292430564078568	0.00233944451262854	0	0	4.57322969741084	37.2136656769103	CYLD;SPI1;SOCS1;NCF1;NCF2;LCK;IFNGR2;IL1B;ACP5
Parkinson disease	13/249	0.000311018183226676	0.00238861964718087	0	0	3.32373144541531	26.8413223607756	ATP5PD;UQCRB;COX4I1;UBE2L6;UQCR10;COX7C;ATP5F1D;ATP5F1E;NDUFS5;RPS27A;UBA52;SLC25A6;SNCA
Cell adhesion molecules	9/148	0.000890865399201556	0.00657869833256534	0	0	3.87813920642627	27.2374018274653	HLA-DRB5;CD40;HLA-DPB1;ICAM3;HLA-DRA;HLA-A;TIGIT;HLA-DRB1;HLA-DQB1
Tuberculosis	10/180	0.000942722895728843	0.00670380725851621	0	0	3.52850678733032	24.5821829270798	CD74;HLA-DRB5;IFNGR2;IL1B;IL10RA;HLA-DPB1;HLA-DRA;LSP1;HLA-DRB1;HLA-DQB1
Influenza A	9/172	0.00252106319826451	0.0172872905023852	0	0	3.30305995709285	19.7624540072391	HLA-DRB5;IFNGR2;IL1B;TNFSF10;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB1;SLC25A6
Pathways of neurodegeneration	17/475	0.00286519732259071	0.018969582273704	0	0	2.24189805278625	13.126577772352	ATP5PD;UQCRB;COX4I1;UBE2L6;UQCR10;COX7C;ATP5F1D;GABARAP;ATP5F1E;SOD1;IL1B;NDUFS5;NEFL;RPS27A;UBA52;SLC25A6;SNCA
Staphylococcus aureus infection	6/95	0.00526882443769885	0.0337204764012726	0	0	4.01133841057341	21.0432727450125	HLA-DRB5;PTAFR;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB1
Epstein-Barr virus infection	9/202	0.00718149422731485	0.0444789319885307	0	0	2.78533964843129	13.7491267338814	HLA-DRB5;CD40;HLA-DPB1;HLA-DRA;HLA-A;CD3E;B2M;HLA-DRB1;HLA-DQB1
NF-kappa B signaling pathway	6/104	0.00812379903886362	0.0487427942331817	0	0	3.64127535512685	17.5253030650059	CYLD;CD40;LCK;IL1B;LY96;BIRC3
Amyotrophic lateral sclerosis	13/364	0.00873825015322837	0.0508407281642378	0	0	2.22153209109731	10.5301627931035	ATP5PD;UQCRB;COX4I1;ANXA11;UQCR10;COX7C;ATP5F1D;GABARAP;ATP5F1E;SOD1;NDUFS5;NEFL;HNRNPA1
Fluid shear stress and atherosclerosis	7/139	0.0090388982769587	0.0510431902698844	0	0	3.15805155210643	14.8624790089947	NCF1;NCF2;IL1R2;IL1B;ITGA2B;SUMO2;RAC2
Leukocyte transendothelial migration	6/114	0.0124425070743574	0.0682560388079033	0	0	3.30243161094225	14.4865676333511	NCF1;NCF2;RAC2;RHOH;MYL12A;MYL12B
RNA transport	8/186	0.0133511443903179	0.0712061034150288	0	0	2.67834931106759	11.5601658845678	EEF1A1;CLNS1A;SUMO2;EIF3G;EIF3E;PABPC1;EIF3F;EIF1
Thermogenesis	9/232	0.0166405008479997	0.0863507071031334	0	0	2.40691628380423	9.8585263037393	ATP5PD;UQCRB;COX4I1;NDUFS5;RPS6;UQCR10;COX7C;ATP5F1D;ATP5F1E
JAK-STAT signaling pathway	7/162	0.0195762722688809	0.0989116914638193	0	0	2.68627065302911	10.5662764985499	SOCS2;SOCS1;CISH;IFNGR2;IL10RA;IL2RA;IL9R
Alzheimer disease	12/369	0.0223024381644431	0.10979661865572	0	0	2.00931394229518	7.64154001813093	BACE2;ATP5PD;UQCRB;IL1B;COX4I1;NDUFS5;UQCR10;COX7C;ATP5F1D;ATP5F1E;SLC25A6;SNCA
Salmonella infection	9/249	0.0249525328825428	0.118336117701232	0	0	2.23447085889571	8.24694023056839	IL1B;LEF1;TNFSF10;RPS3;RHOH;LY96;MYL12A;MYL12B;BIRC3
Primary immunodeficiency	3/38	0.0255024400000711	0.118336117701232	0	0	5.06798623063683	18.5943459239247	CD40;LCK;CD3E
Systemic lupus erythematosus	6/135	0.0262945531773509	0.118336117701232	0	0	2.7618576376617	10.0487247794937	HLA-DRB5;CD40;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB1
Viral protein interaction with cytokine and cytokine receptor	5/100	0.0265023596935052	0.118336117701232	0	0	3.12121212121212	11.331627727466	IL10RA;IL2RA;TNFSF10;TNFRSF14;CCR4
Mitophagy	4/68	0.0272385126405864	0.118858964249832	0	0	3.70109516616314	13.3355026033663	TOMM7;RPS27A;UBA52;GABARAP
Ubiquitin mediated proteolysis	6/140	0.0306792945235738	0.129694136210294	0	0	2.65812276005988	9.26134439311741	SOCS1;UBE2L6;RPS27A;UBA52;RBX1;BIRC3
Ferroptosis	3/41	0.0310725534670496	0.129694136210294	0	0	4.66716867469879	16.2017511008562	GPX4;PCBP1;SAT1
Huntington disease	10/306	0.0341447090151074	0.139484768742567	0	0	2.01340956340956	6.79958135268504	ATP5PD;UQCRB;COX4I1;NDUFS5;UQCR10;COX7C;ATP5F1D;ATP5F1E;SLC25A6;SOD1
HIF-1 signaling pathway	5/109	0.0364954820721777	0.145981928288711	0	0	2.84979603729604	9.43444016180604	LDHB;IFNGR2;RPS6;TIMP1;RBX1
Kaposi sarcoma-associated herpesvirus infection	7/193	0.0443540057431938	0.173795287810065	0	0	2.23500196695515	6.96326541394392	LEF1;GNG8;HLA-A;RPS27A;UBA52;CCR4;GABARAP
Non-alcoholic fatty liver disease	6/155	0.0465994893099213	0.178942038950098	0	0	2.38869056118806	7.32412105928373	UQCRB;COX4I1;IL1B;NDUFS5;UQCR10;COX7C
Necroptosis	6/159	0.051570738838308	0.194148663861865	0	0	2.32576434829251	6.89542810304286	CYLD;IFNGR2;IL1B;TNFSF10;BIRC3;SLC25A6
Platelet activation	5/124	0.0577102967294705	0.211635446646518	0	0	2.48866819455055	7.09847723978262	VAMP8;ITGA2B;GP1BA;MYL12A;MYL12B
Cardiac muscle contraction	4/87	0.0584202014180492	0.211635446646518	0	0	2.85109016124923	8.09736273258482	UQCRB;COX4I1;UQCR10;COX7C
Natural killer cell mediated cytotoxicity	5/131	0.0695929640895424	0.247441650096151	0	0	2.3495670995671	6.26181202803812	LCK;IFNGR2;TNFSF10;RAC2;HLA-A
Collecting duct acid secretion	2/27	0.0746259017422904	0.26051223880945	0	0	4.71831831831832	12.2452987698119	ATP6V1G1;ATP6V0E2
Neutrophil extracellular trap formation	6/189	0.0988266343188764	0.338834174807576	0	0	1.9415018187254	4.4933887683526	NCF1;NCF2;ITGA2B;RAC2;GP1BA;SLC25A6
Acute myeloid leukemia	3/67	0.102265518694641	0.344473326129317	0	0	2.76746046686747	6.31031554452242	SPI1;LEF1;PIM2
Prolactin signaling pathway	3/70	0.112789435633194	0.37337192485471	0	0	2.64313972307139	5.76794567014246	SOCS2;SOCS1;CISH
Shigellosis	7/246	0.120550568067768	0.392300153712058	0	0	1.73464128992754	3.66995622631982	IL1B;RPS27A;UBA52;GABARAP;MYL12A;MYL12B;RBX1
Riboflavin metabolism	1/8	0.126422472441095	0.404551911811505	0	0	8.40804106073567	17.3888885350594	ACP5
Herpes simplex virus 1 infection	12/498	0.133560904331962	0.418024662576273	0	0	1.46611627106983	2.95158189451505	CD74;HLA-DRB5;IFNGR2;IL1B;HLA-DPB1;HLA-DRA;TNFRSF14;HLA-A;B2M;HLA-DRB1;HLA-DQB1;BIRC3
Pertussis	3/76	0.134987130623588	0.418024662576273	0	0	2.42515266545635	4.85655212112324	IL1B;SERPING1;LY96
Human immunodeficiency virus 1 infection	6/212	0.146481094744504	0.446418574459442	0	0	1.72269601912238	3.30905598887859	RAC2;GNG8;HLA-A;CD3E;B2M;RBX1
Lipid and atherosclerosis	6/215	0.153359417915135	0.460078253745406	0	0	1.69770654877038	3.1831505043658	CD40;NCF1;NCF2;IL1B;TNFSF10;LY96
Taurine and hypotaurine metabolism	1/11	0.169607613096012	0.500994795606681	0	0	5.88473053892216	10.4410871306549	CDO1
Human cytomegalovirus infection	6/225	0.177281314758262	0.50777648237749	0	0	1.61935295832119	2.8015088904541	IL1B;IL10RA;RAC2;GNG8;HLA-A;B2M
Type II diabetes mellitus	2/46	0.179837504175361	0.50777648237749	0	0	2.67826917826918	4.59511068867995	SOCS2;SOCS1
