p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	2.4678283771704	0.786	0.156	0	CDK1	c1
0	2.37364031915548	0.949	0.25	0	UBE2C	c1
7.15332810769472e-260	1.55931912258884	1	0.735	2.39908318075866e-255	TUBB	c1
3.2448571074066e-258	1.60198486898621	0.999	0.675	1.08826017668203e-253	TUBA1B	c1
3.48630170636112e-251	1.67453483365133	0.991	0.519	1.16923586627939e-246	TUBB4B	c1
3.33406816090739e-245	2.24115056485136	0.638	0.118	1.11817977980512e-240	CENPA	c1
1.91037255989774e-241	2.07452381090314	0.934	0.429	6.40700749138505e-237	HIST1H4C	c1
9.26959502475854e-240	1.77458937762613	0.897	0.286	3.10883677940352e-235	CKS1B	c1
5.74733518590576e-234	1.80546831562136	0.848	0.253	1.92754127464907e-229	NUSAP1	c1
8.76639608692772e-221	1.7994707113135	0.772	0.206	2.94007391963382e-216	PLK1	c1
1.98435911886041e-220	1.81702881361624	0.884	0.33	6.65514361283404e-216	TUBA1C	c1
1.37870306914574e-218	1.88192739470514	0.694	0.158	4.62389435330097e-214	CDCA3	c1
2.05424870860449e-216	1.6684251870512	0.786	0.208	6.88953931891773e-212	CCNA2	c1
3.44071165622825e-215	1.71621150893612	0.875	0.294	1.15394587526583e-210	H2AFX	c1
6.04779740559517e-215	1.36338656944689	0.85	0.244	2.02831029388851e-210	TOP2A	c1
2.80180843205558e-214	1.67917020015438	0.742	0.18	9.396705119428e-210	CDCA8	c1
1.18391656432065e-210	2.09597725238223	0.551	0.096	3.97061937341859e-206	HJURP	c1
1.56156734680109e-210	1.49152135178489	1	0.576	5.2371845677015e-206	STMN1	c1
5.75919677827135e-206	1.64460107133189	0.915	0.391	1.93151941549665e-201	CKS2	c1
3.49722601507654e-200	1.63644394058707	0.814	0.251	1.17289966093637e-195	BIRC5	c1
1.80222229488139e-198	1.73450401495388	0.664	0.153	6.04429313257322e-194	AURKB	c1
1.01408597976779e-190	1.70249937137588	0.674	0.168	3.40104155894523e-186	GTSE1	c1
2.22408942619215e-183	1.50830308459384	0.828	0.282	7.45915111756323e-179	ZWINT	c1
3.06933130953648e-182	1.61935204170025	0.716	0.195	1.02939233459235e-177	CCNB2	c1
1.45869815712905e-180	1.70747624869666	0.742	0.219	4.89218187937941e-176	CDKN3	c1
3.05919565054855e-179	1.53104560725278	0.822	0.279	1.02599303728097e-174	TK1	c1
3.44642729189638e-177	1.27491441806682	0.798	0.248	1.15586278515621e-172	CENPF	c1
8.87837468741801e-177	1.93030568024897	0.529	0.107	2.97762930266625e-172	SGO1	c1
2.87095762470713e-175	1.27332587957141	0.987	0.538	9.62861768174278e-171	HMGB2	c1
5.05035097030691e-174	1.61045046715023	0.598	0.136	1.69378670842153e-169	CKAP2L	c1
3.31441407144122e-173	1.45248756992549	0.874	0.331	1.11158819127996e-168	CENPM	c1
9.91920843659359e-170	1.54953397166218	0.746	0.231	3.32670412546476e-165	CCNB1	c1
1.19381278559997e-166	0.976005058781342	0.997	0.801	4.00380932034517e-162	HMGB1	c1
3.7934181865685e-165	1.02888282893056	0.999	0.758	1.27223659141135e-160	H2AFZ	c1
4.32571287023331e-161	1.23634736402083	0.979	0.566	1.45075758241885e-156	TUBA4A	c1
1.20882205308536e-159	1.71940911905082	0.646	0.18	4.05414740163767e-155	CDKN2D	c1
4.27077249584436e-158	1.71092531587446	0.587	0.148	1.43233167965628e-153	PKMYT1	c1
4.03027439728682e-157	1.4740557795611	0.759	0.256	1.35167342736205e-152	UBE2T	c1
1.59294924331296e-155	1.94216575853854	0.466	0.092	5.34243317222299e-151	SPC25	c1
4.3412164934781e-155	1.72944841530811	0.682	0.215	1.45595718758269e-150	UBE2S	c1
8.2890704198535e-153	1.45645938501329	0.798	0.309	2.77998843741047e-148	KPNA2	c1
1.10542131903891e-152	1.17156265068466	0.815	0.291	3.70736201979271e-148	TPX2	c1
4.12266090715341e-149	1.43401249523703	0.625	0.171	1.38265801504111e-144	KIFC1	c1
5.12531869435016e-149	2.03328334524336	0.396	0.068	1.71892938371116e-144	PBK	c1
2.83427101163279e-147	1.57907691787302	0.467	0.096	9.50557811881404e-143	KIF23	c1
2.97977723426069e-147	1.40507025099362	0.738	0.245	9.99357688826349e-143	CDC20	c1
7.47617750747092e-146	2.17211272202914	0.393	0.069	2.5073604124556e-141	MXD3	c1
1.24853341971317e-145	1.13479292675916	0.966	0.593	4.18733138303403e-141	CALM2	c1
2.54535034199369e-145	1.47156841675021	0.63	0.182	8.53659597697844e-141	RACGAP1	c1
3.70501830118973e-145	1.19957375521329	0.947	0.444	1.24258903785301e-140	TYMS	c1
1.6125568478602e-143	1.46856115204191	0.53	0.126	5.40819315635355e-139	KIF2C	c1
9.57504634699999e-143	1.22977685662879	0.908	0.418	3.21127904385686e-138	PTTG1	c1
2.01603108489141e-142	1.63781655792362	0.561	0.145	6.76136505250882e-138	CDKN2C	c1
2.20455203201721e-142	0.696322653216579	1	0.88	7.39362660497931e-138	PPIA	c1
2.52764253098711e-142	1.23824738955136	0.549	0.135	8.47720752042457e-138	CENPE	c1
3.60444905966271e-141	1.56215073833383	0.589	0.166	1.20886012562968e-136	AURKA	c1
1.03937527747925e-140	1.49780610974847	0.699	0.226	3.48585680560991e-136	HIST1H1B	c1
1.15718715219303e-140	1.07738445938662	0.992	0.589	3.88097427102498e-136	HMGN2	c1
4.82510302082887e-140	0.752837570723212	0.924	0.395	1.61824305112559e-135	MKI67	c1
2.899519520822e-139	1.3239317559286	0.87	0.383	9.72440856893281e-135	PHF19	c1
6.10911908949193e-139	1.32105577118755	0.538	0.133	2.0488763602338e-134	HMMR	c1
4.7408048546333e-137	1.15541291877342	0.663	0.198	1.58997113214692e-132	TACC3	c1
1.10331117967837e-136	1.72811893584656	0.517	0.132	3.70028503440531e-132	KNSTRN	c1
2.1852294595683e-136	1.34857128762938	0.681	0.214	7.32882256150016e-132	ASF1B	c1
1.04014202522016e-135	1.30013493806096	0.734	0.254	3.48842832418336e-131	DTYMK	c1
7.45324313207225e-134	0.836293789908191	0.645	0.189	2.49966868163439e-129	ASPM	c1
2.5186568789445e-132	0.837353400568216	1	0.948	8.44707144060407e-128	TMSB10	c1
1.4210623462672e-130	1.53223348436263	0.457	0.101	4.76595889691095e-126	CDCA2	c1
3.92231700445426e-129	1.34298725331723	0.479	0.113	1.31546667695387e-124	NCAPG	c1
1.56925441009163e-126	1.38978830737715	0.488	0.119	5.2629654405653e-122	CDCA5	c1
1.7259789802257e-126	1.24097480118066	0.586	0.168	5.78858830388095e-122	NCAPH	c1
1.13404513657518e-125	1.62915305336868	0.434	0.096	3.80336057904584e-121	FOXM1	c1
7.35265004688266e-125	1.04682800440677	0.97	0.618	2.46593177272351e-120	JPT1	c1
4.85938139360553e-120	0.912639915852957	0.863	0.368	1.62973933178742e-115	TMPO	c1
2.32742897554599e-119	1.26766044519419	0.663	0.233	7.80573129818614e-115	TUBA1A	c1
2.95988618610718e-118	2.40859176792356	0.328	0.059	9.92686629096625e-114	HIST1H3C	c1
5.00568691298602e-118	2.07641749481832	0.362	0.073	1.67880727687725e-113	HIST1H3B	c1
1.31890789647867e-117	0.744326918761943	0.999	0.816	4.42335330321016e-113	TPI1	c1
1.16492224457148e-116	1.23161032157619	0.543	0.159	3.90691622384384e-112	CKAP2	c1
1.31621376049111e-116	1.43545130694277	0.435	0.102	4.41431770993508e-112	SHCBP1	c1
1.5438875854443e-116	1.15093117972377	0.697	0.245	5.17789018406309e-112	CENPW	c1
5.62580383081182e-115	1.34866657459438	0.698	0.265	1.88678208877767e-110	HIST1H1C	c1
1.02735852111731e-114	1.59278264994759	0.423	0.1	3.44555500812322e-110	POC1A	c1
1.40991354630635e-114	1.01984548803135	0.794	0.327	4.72856805160223e-110	SMC4	c1
3.25388918167085e-113	1.51803015853712	0.512	0.146	1.09128935374877e-108	RPL39L	c1
4.03658861524678e-113	0.857731652658762	0.991	0.671	1.35379108978147e-108	H2AFV	c1
4.48312040955632e-113	0.997653432851163	0.708	0.254	1.503548922957e-108	KIF22	c1
6.84433821452305e-113	1.17744824448474	0.706	0.261	2.29545415038674e-108	DHFR	c1
1.34310430146987e-112	1.29604835007974	0.596	0.192	4.50450320626964e-108	LRR1	c1
9.9290091427321e-112	1.28988586569678	0.504	0.14	3.32999108628949e-107	NDC80	c1
3.79570766940258e-111	2.13564909901441	0.307	0.054	1.27300443816424e-106	PSRC1	c1
2.00732734157573e-110	1.08523998518847	0.755	0.291	6.73217443817667e-106	FEN1	c1
5.57394693248515e-110	0.620103549847945	0.999	0.884	1.86939032221687e-105	CFL1	c1
7.00174722902498e-110	1.31389264257866	0.583	0.187	2.3482459856704e-105	MAD2L1	c1
5.81039737596436e-109	1.72718320115184	0.376	0.084	1.94869107195093e-104	TRIP13	c1
2.26214166120469e-108	0.71723540533615	1	0.907	7.58677070334828e-104	PTMA	c1
9.83763369716872e-108	0.909343255002806	0.637	0.216	3.29934558935644e-103	KIF20B	c1
1.628190538481e-107	1.00268862385431	0.921	0.507	5.46062542795758e-103	DUT	c1
1.29045555251912e-106	0.985016404170652	0.91	0.487	4.32792983203862e-102	LSM4	c1
5.85225441497657e-105	0.639471141737185	1	0.951	1.96272908569484e-100	PFN1	c1
3.45395632934067e-104	1.73756607891549	0.324	0.065	1.15838787373428e-99	DEPDC1	c1
4.96996573044801e-104	1.41303105175544	0.479	0.135	1.66682710667765e-99	CENPU	c1
1.63804877445578e-102	1.16087150729708	0.479	0.133	5.4936879797698e-98	NUF2	c1
6.52714051488256e-102	1.02354060590643	0.848	0.406	2.18907238588131e-97	TMEM106C	c1
7.45981384812255e-102	1.60277829367445	0.339	0.072	2.50187236838334e-97	KIF20A	c1
5.86842866260581e-101	1.3051493416757	0.516	0.16	1.96815360486474e-96	CENPN	c1
2.77226725046131e-100	1.18227970692133	0.633	0.228	9.29762990459715e-96	BCL2L12	c1
2.52437413090706e-99	1.49552945580874	0.368	0.087	8.46624596023611e-95	CEP55	c1
8.14598838788209e-99	1.35398446393178	0.518	0.167	2.7320015855279e-94	TUBG1	c1
2.16690504890612e-98	1.74635196980866	0.352	0.08	7.26736615302136e-94	MYBL2	c1
9.12841289853884e-98	0.574463473208013	1	0.993	3.06148711791195e-93	ACTB	c1
3.39711977074218e-97	0.761052027261183	0.99	0.709	1.13932602871151e-92	SLC25A5	c1
9.94426880715251e-97	0.904418369150132	0.941	0.532	3.33510887254281e-92	YWHAH	c1
5.91116179095025e-94	0.93830603595128	0.637	0.236	1.98248544144889e-89	SMC2	c1
6.55420652583087e-93	0.947860268226326	0.842	0.423	2.19814978463316e-88	CDC25B	c1
7.07551567751842e-93	1.46316877928325	0.75	0.341	2.37298644792613e-88	HIST1H1E	c1
1.70524860601703e-92	0.599092376799049	1	0.943	5.71906277485991e-88	ACTG1	c1
4.5584442063812e-92	1.35690006466805	0.35	0.082	1.52881101793613e-87	CCNF	c1
2.06104570688643e-91	0.800595617752692	0.478	0.142	6.91233509175571e-87	DLGAP5	c1
2.41845122384078e-90	0.964791301907547	0.783	0.357	8.11100171451722e-86	CMC2	c1
3.02231105347631e-90	0.942484116388711	0.723	0.299	1.01362268111488e-85	MCM7	c1
5.90170862751623e-90	0.818513774697981	0.969	0.613	1.97931503949639e-85	ANP32B	c1
1.87916699206201e-89	1.23860767545681	0.549	0.192	6.30235025797756e-85	HMGB3	c1
2.57981761570277e-89	1.32688688278042	0.376	0.098	8.65219231954395e-85	SPAG5	c1
9.87537670602467e-89	1.05797535696047	0.626	0.247	3.31200383966655e-84	OSM	c1
3.47492212949111e-88	0.73979310518944	0.987	0.726	1.16541938378873e-83	TAGLN2	c1
3.48972962645742e-88	0.7338620880885	0.99	0.728	1.17038552212129e-83	SUB1	c1
7.4497695623809e-88	0.775817227454244	0.982	0.7	2.49850371583131e-83	UBB	c1
1.34087765373302e-87	0.997686542991762	0.384	0.101	4.49703547508981e-83	KIF14	c1
2.69543592903389e-87	1.84523543454061	0.232	0.039	9.03995301879385e-83	FAM83D	c1
3.85097583130574e-87	1.10100055759833	0.482	0.152	1.29154027430332e-82	RRM2	c1
4.76130698182427e-87	1.23773987051543	0.48	0.153	1.59684713556422e-82	TROAP	c1
4.97220432860989e-87	0.664594682021596	0.995	0.761	1.66757788772919e-82	RAN	c1
1.97620756780017e-85	1.00417501754819	0.559	0.203	6.6278049408882e-81	EZH2	c1
3.30359484563744e-85	0.926631956472223	0.815	0.393	1.10795963932989e-80	NUDT1	c1
2.73889062145412e-84	0.731891472621445	0.982	0.671	9.18569136623283e-80	PRDX2	c1
5.81483112514319e-84	0.785531010740596	0.919	0.578	1.95017806275052e-79	BUB3	c1
2.35632167016894e-83	0.873398157060923	0.822	0.4	7.90263161741258e-79	MRPL27	c1
3.2294021675857e-83	0.897376089283151	0.888	0.471	1.08307689896489e-78	CARHSP1	c1
4.30049971529848e-83	0.838391477775882	0.855	0.445	1.44230159451681e-78	RANBP1	c1
5.28640297425864e-83	1.31116833159789	0.332	0.081	1.77295382950686e-78	DEPDC1B	c1
