Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Antigen processing and presentation	10/78	3.86153277999602e-12	4.78830064719506e-10	33.9192886456908	891.397444298276	CD74;HSPA5;CALR;PDIA3;HLA-C;HLA-A;HLA-B;HLA-E;CD8A;CANX	1	KEGG_2021_Human
Cell adhesion molecules	10/148	2.37453454958624e-09	1.47221142074347e-07	16.654870239299	330.740147696894	CD2;HLA-C;HLA-A;HLA-B;HLA-E;CD8A;ITGA4;PTPRC;SPN;ITGB2	2	KEGG_2021_Human
Allograft rejection	6/38	2.54626831503941e-08	1.05245757021629e-06	41.4	723.922547106386	GZMB;HLA-C;HLA-A;HLA-B;HLA-E;PRF1	3	KEGG_2021_Human
Graft-versus-host disease	6/42	4.76421762181195e-08	1.36783414240329e-06	36.7925925925926	620.3064592628	GZMB;HLA-C;HLA-A;HLA-B;HLA-E;PRF1	4	KEGG_2021_Human
Type I diabetes mellitus	6/43	5.51546025162615e-08	1.36783414240329e-06	35.7963963963964	598.269670440034	GZMB;HLA-C;HLA-A;HLA-B;HLA-E;PRF1	5	KEGG_2021_Human
Protein processing in endoplasmic reticulum	9/171	1.35543944237906e-07	2.80124151425005e-06	12.6066411238825	199.361043745746	HSP90B1;PDIA4;PDIA3;PDIA6;HSPA5;CALR;RPN2;CANX;DERL1	6	KEGG_2021_Human
Autoimmune thyroid disease	6/53	1.99832776914944e-07	3.46275581574964e-06	28.1659574468085	434.482002078691	GZMB;HLA-C;HLA-A;HLA-B;HLA-E;PRF1	7	KEGG_2021_Human
Natural killer cell mediated cytotoxicity	8/131	2.23403601016106e-07	3.46275581574964e-06	14.620103473762	223.896443480376	HLA-C;HLA-A;HLA-B;HLA-E;PRF1;NCR3;GZMB;ITGB2	8	KEGG_2021_Human
Viral myocarditis	6/60	4.24167617090172e-07	5.84408716879792e-06	24.5061728395062	359.582434765048	HLA-C;HLA-A;HLA-B;HLA-E;ITGB2;PRF1	9	KEGG_2021_Human
Phagosome	8/152	6.97020887028089e-07	8.6430589991483e-06	12.4747474747475	176.847639571692	HLA-C;HLA-A;CYBA;HLA-B;HLA-E;CALR;CANX;ITGB2	10	KEGG_2021_Human
Human cytomegalovirus infection	9/225	1.36545588743676e-06	1.53924118220143e-05	9.42911877394636	127.331029265058	HLA-C;HLA-A;HLA-B;HLA-E;CCR1;CALR;PDIA3;CCL5;CCL4	11	KEGG_2021_Human
Thyroid hormone synthesis	6/75	1.61013593009033e-06	1.66380712776001e-05	19.1642512077295	255.635625512745	HSPA5;ATP1B3;ATP1A1;HSP90B1;PDIA4;CANX	12	KEGG_2021_Human
Salivary secretion	5/93	8.53963189282614e-05	0.000793092920190935	12.3726273726274	115.909341313849	ATP1B3;ADRB2;ATP1A1;CD38;ATP2B4	13	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	7/219	8.95427490538152e-05	0.000793092920190935	7.30570277718889	68.0949535604198	HLA-C;HLA-A;HLA-B;HLA-E;CALR;CANX;ITGB2	14	KEGG_2021_Human
Epstein-Barr virus infection	6/202	0.000429631395869445	0.00355161953918742	6.70340136054422	51.9686749996216	HLA-C;HLA-A;HLA-B;HLA-E;CALR;PDIA3	15	KEGG_2021_Human
Cytokine-cytokine receptor interaction	7/295	0.000550270156279924	0.00404470030179366	5.35705368289638	40.2052300619914	IL23R;CCR2;CCR1;CXCR6;LTB;CCL5;CCL4	16	KEGG_2021_Human
Human immunodeficiency virus 1 infection	6/212	0.000554515363955583	0.00404470030179366	6.3747572815534	47.7942075180041	HLA-C;HLA-A;HLA-B;HLA-E;CALR;PDIA3	17	KEGG_2021_Human
Apoptosis	5/142	0.000612089527982067	0.00421661674832091	7.92772920510147	58.6543509730878	PRF1;CTSW;CTSH;CTSC;GZMB	18	KEGG_2021_Human
Hematopoietic cell lineage	4/99	0.00132436474999099	0.00852206454283844	9.06590389016018	60.0781346897873	CD2;CD8A;ITGA4;CD38	19	KEGG_2021_Human
Viral protein interaction with cytokine and cytokine receptor	4/100	0.00137452653916749	0.00852206454283844	8.97101449275362	59.1158092505914	CCR2;CCR1;CCL5;CCL4	20	KEGG_2021_Human
Pancreatic secretion	4/102	0.00147880522666719	0.00873199276698721	8.78704525288376	57.2609631302953	ATP1B3;ATP1A1;CD38;ATP2B4	21	KEGG_2021_Human
Endocrine and other factor-regulated calcium reabsorption	3/53	0.00211003160117957	0.0118929053884666	12.8090322580645	78.9171183555397	ATP1B3;ATP1A1;ATP2B4	22	KEGG_2021_Human
Chemokine signaling pathway	5/192	0.0023360314842911	0.0123441694886412	5.79332432273609	35.1035001273715	CCR2;CCR1;CXCR6;CCL5;CCL4	23	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	5/193	0.00238919409457571	0.0123441694886412	5.76221650689736	34.7853438194297	HLA-C;HLA-A;HLA-B;HLA-E;CCR1	24	KEGG_2021_Human
Herpes simplex virus 1 infection	8/498	0.00273041995924181	0.0135428829978394	3.60185528756957	21.262831780243	CCL5;HLA-C;HLA-A;HLA-B;HLA-E;CALR;CD74;PDIA3	25	KEGG_2021_Human
Mineral absorption	3/60	0.00300857514995007	0.014348589176685	11.2320316921336	65.2164185169349	ATP1B3;ATP1A1;ATP2B4	26	KEGG_2021_Human
Lysosome	4/128	0.00337728045838605	0.0155104732162915	6.93548387096774	39.4676505052915	CTSW;CTSH;CTSC;LAPTM5	27	KEGG_2021_Human
cAMP signaling pathway	5/216	0.0038707140376553	0.0171417335953306	5.12811832717046	28.4831911262945	ADRB2;ATP1B3;ATP1A1;F2R;ATP2B4	28	KEGG_2021_Human
Steroid biosynthesis	2/20	0.00409495981421173	0.017509483343526	23.5059101654846	129.235455895188	EBP;LBR	29	KEGG_2021_Human
Proximal tubule bicarbonate reclamation	2/23	0.00540200845649495	0.0223283016201791	20.144883485309	105.176123588548	ATP1B3;ATP1A1	30	KEGG_2021_Human
Adrenergic signaling in cardiomyocytes	4/150	0.00592215369815303	0.0235021093398055	5.88385944014294	30.1786392449176	ATP1B3;ATP1A1;ADRB2;ATP2B4	31	KEGG_2021_Human
Leishmaniasis	3/77	0.00606506047478852	0.0235021093398055	8.64428945074106	44.1309195642356	ITGA4;CYBA;ITGB2	32	KEGG_2021_Human
Cellular senescence	4/156	0.00678984282398988	0.0255133487931741	5.64988558352403	28.2060790904782	HLA-C;HLA-A;HLA-B;HLA-E	33	KEGG_2021_Human
Endocytosis	5/252	0.00736366713170188	0.0268557271862068	4.37269208524269	21.4751532074395	HLA-C;HLA-A;HLA-B;HLA-E;RNF103-CHMP3	34	KEGG_2021_Human
cGMP-PKG signaling pathway	4/167	0.00859156807987737	0.030438698340137	5.26567084555882	25.0486593707659	ATP1B3;ATP1A1;ADRB2;ATP2B4	35	KEGG_2021_Human
Rheumatoid arthritis	3/93	0.0101836519428283	0.0350770233586308	7.10179211469534	32.575718704938	LTB;ITGB2;CCL5	36	KEGG_2021_Human
Aldosterone synthesis and secretion	3/98	0.0117331730018151	0.0393219851952723	6.72631578947368	29.9007280073168	ATP1B3;ATP1A1;ATP2B4	37	KEGG_2021_Human
Protein digestion and absorption	3/103	0.0134112239770902	0.0432884701741703	6.38838709677419	27.5445742705347	ATP1B3;ATP1A1;DPP4	38	KEGG_2021_Human
Aldosterone-regulated sodium reabsorption	2/37	0.0136149220709084	0.0432884701741703	12.0784194528875	51.8960026686698	ATP1B3;ATP1A1	39	KEGG_2021_Human
Primary immunodeficiency	2/38	0.0143268407017084	0.044413206175296	11.74231678487	49.8534211984555	PTPRC;CD8A	40	KEGG_2021_Human
