Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	75/158	6.94386570232047e-98	1.29155902063161e-95	84.4750430292599	18898.3748395511	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPS7;RPSA;FAU;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPS5;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;RPS3A;RPL37A;RPL36A;RPS15A;RPS27A;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	75/232	2.40669629206683e-82	2.23822755162215e-80	44.4904458598726	8361.25511287656	RPL22;RPL21;RPL24;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPL19;RPL18;RPL41;RPS27;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPS15A;RPS27A;RPLP0;RPLP2;RPLP1;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RPS5;RPS2;RPS3;RPL13A;RPS3A;RPL37A;RPL36A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
RNA transport	8/186	0.00531822264483754	0.329729803979927	3.16991846834057	16.5996461528232	EEF1A1;EIF4EBP3;PABPC1;EIF4B;EIF3F;EIF3G;EIF3E;EIF4A2	3	KEGG_2021_Human
Hematopoietic cell lineage	5/99	0.0136914347334441	0.472636222357787	3.72739361702128	15.9941895167946	CD7;FLT3LG;IL7R;ITGA6;CD37	4	KEGG_2021_Human
Thyroid cancer	3/37	0.0155647752703829	0.472636222357787	6.15801001251564	25.6342248558393	TCF7;LEF1;MYC	5	KEGG_2021_Human
Adherens junction	4/71	0.0186104297176684	0.472636222357787	4.17443033940617	16.631068720596	LEF1;WASF2;TCF7;IGF1R	6	KEGG_2021_Human
HIF-1 signaling pathway	5/109	0.0199658528321713	0.472636222357787	3.36727335164835	13.1786048731435	RPS6;IGF1R;LDHB;IFNGR2;HKDC1	7	KEGG_2021_Human
Ferroptosis	3/41	0.0204867017288582	0.472636222357787	5.50867861142217	21.4176284087275	PCBP1;SLC40A1;PCBP2	8	KEGG_2021_Human
Arrhythmogenic right ventricular cardiomyopathy	4/77	0.0242750226417391	0.472636222357787	3.83015648613075	14.2416989454197	PKP2;ITGA6;LEF1;TCF7	9	KEGG_2021_Human
Cytokine-cytokine receptor interaction	9/295	0.0260980929956729	0.472636222357787	2.21522499239891	8.07647336547902	TNFSF8;IL16;CD27;CCR7;IFNGR2;CXCR5;IL7R;EDA;TNFSF13B	10	KEGG_2021_Human
