p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
5.70428575129549e-265	1.80088847569392	1	0.88	1.91310335526948e-260	RPL30	c4
3.58885465000656e-261	1.71346501339533	1	0.903	1.2036300725192e-256	RPS12	c4
3.70848062180162e-254	1.51321953283916	1	0.975	1.24375023093983e-249	EEF1A1	c4
3.78108478687802e-252	1.47664248091768	1	0.919	1.26810021582315e-247	RPL19	c4
1.80628956263318e-248	1.60184942910462	1	0.873	6.05793393515915e-244	RPS14	c4
9.03390085871839e-247	1.61912887216813	1	0.937	3.02978966999697e-242	RPL10	c4
6.85878456759756e-245	1.50438086291477	1	0.91	2.30029916828087e-240	RPL13	c4
7.11183417790174e-243	1.55060041795967	1	0.897	2.38516694658469e-238	RPS27A	c4
2.51026413626389e-241	1.9399024520891	0.996	0.844	8.41892386020184e-237	RPL34	c4
3.42709986049635e-239	1.42052806471219	1	0.925	1.14938075121327e-234	RPL41	c4
2.74139782705455e-235	1.56946308740537	0.998	0.876	9.19410003237555e-231	RPL32	c4
1.4713567771445e-233	1.91951616812713	0.992	0.838	4.93463635918723e-229	RPS27	c4
9.99255522018298e-231	1.42201359145611	1	0.899	3.35130316974497e-226	RPL11	c4
2.41807968806145e-228	1.37437669708671	1	0.942	8.10975565782048e-224	RPLP1	c4
1.04140994302126e-221	1.29023544423918	1	0.928	3.4926806669047e-217	RPS3	c4
6.46284004981553e-221	1.43055894613914	1	0.894	2.16750729590713e-216	RPL18A	c4
4.20626955349632e-220	1.21478427218846	1	0.911	1.41069868285159e-215	RPL28	c4
1.16608086188525e-216	3.28090742248957	0.449	0.048	3.91080199459076e-212	TCF7	c4
1.50815825113383e-214	1.52665608203436	0.996	0.848	5.05806114265265e-210	RPS25	c4
2.16286061290248e-213	1.3639046302047	0.998	0.906	7.25380192355234e-209	RPS8	c4
1.29976546755915e-211	1.32114696673502	0.996	0.879	4.35915342509989e-207	RPS23	c4
9.06779435200754e-209	1.47184255063088	1	0.867	3.04115686977629e-204	RPS13	c4
1.03039905155844e-208	1.39153320044548	0.998	0.879	3.45575233911668e-204	RPL14	c4
8.19952581237961e-203	1.22344171457674	1	0.906	2.74995696695587e-198	RPL18	c4
4.02391612158791e-201	1.73829735823784	0.986	0.82	1.34954098885815e-196	RPL39	c4
1.20689560108764e-199	1.40946301499468	0.994	0.889	4.04768646692773e-195	RPS18	c4
2.08919306529926e-194	1.56814184089122	0.985	0.837	7.00673570240065e-190	RPL5	c4
1.84022874837231e-192	1.51213457179759	0.988	0.829	6.17175917629104e-188	RPL35A	c4
2.54333913837443e-189	1.20284887792995	0.992	0.889	8.52985080228018e-185	RPS15	c4
1.69428798480378e-188	1.482263750754	0.983	0.844	5.68230304343491e-184	RPS28	c4
2.87603168841858e-188	1.29450526090519	0.998	0.912	9.64563507661822e-184	TPT1	c4
1.46667993918271e-187	1.37917967747009	0.996	0.874	4.91895118003096e-183	RPS3A	c4
1.85664139575585e-187	1.28184224662621	0.996	0.911	6.22680391308597e-183	RPS4X	c4
2.40601060491821e-185	1.51237240259926	0.986	0.88	8.06927836677469e-181	RPL3	c4
7.54248576766685e-183	1.25580565819186	0.996	0.862	2.52959887676011e-178	FAU	c4
4.01447734165404e-181	1.2483798624365	0.992	0.884	1.34637541084393e-176	RPL29	c4
4.19126784323009e-177	1.15216876122827	0.998	0.892	1.40566740926251e-172	RPL7A	c4
3.29929277521929e-168	1.46523317758922	0.975	0.813	1.10651681095305e-163	RPL9	c4
4.91047663655339e-167	1.23297117574289	0.983	0.848	1.64687565436728e-162	RPLP2	c4
1.94206972990515e-166	1.38186057499247	0.981	0.836	6.51331346015589e-162	RPL37	c4
7.23887068169513e-165	1.14768324317936	1	0.896	2.42777244922691e-160	RPL8	c4
1.37735006891632e-161	1.22452084570707	0.988	0.868	4.61935666113156e-157	RPL6	c4
7.66275196183987e-161	1.38677712093145	0.981	0.852	2.56993375296185e-156	RPS5	c4
1.88921182368572e-159	1.33236810550044	0.986	0.859	6.33603861427716e-155	RPS15A	c4
1.36147011414061e-156	1.08626348680853	0.99	0.895	4.56609846880477e-152	RACK1	c4
9.73994583494072e-154	1.17597235314864	0.985	0.856	3.26658303412242e-149	RPL12	c4
5.52049143403809e-152	-1.46611271972049	0.998	0.993	1.85146241714769e-147	ACTB	c4
1.55670501719197e-151	1.70517639629967	0.714	0.221	5.22087728665842e-147	IL7R	c4
3.91382112219571e-145	1.18266507741644	0.981	0.854	1.312617327962e-140	RPS9	c4
1.43086700617992e-144	1.32877740183909	0.973	0.814	4.79884176532621e-140	RPL21	c4
4.89866902183825e-143	1.06360623336029	0.998	0.92	1.64291561654411e-138	RPS19	c4
3.1560293148432e-141	1.14287133699261	0.979	0.84	1.05846911161211e-136	RPL23A	c4
3.66532895405159e-141	1.14555508900351	0.992	0.876	1.22927802460982e-136	RPS6	c4
1.48942002501688e-139	1.16525561056851	0.981	0.869	4.9952168799016e-135	RPS2	c4
7.11608861186075e-132	-2.43116503752719	0.542	0.863	2.38659379864586e-127	LGALS1	c4
6.15692870879375e-131	1.45411923550554	0.944	0.789	2.06491075035525e-126	EEF1B2	c4
2.93301941235449e-130	1.10313519952597	0.979	0.845	9.83676050515448e-126	NACA	c4
3.11737809545314e-130	1.22326083936437	0.956	0.812	1.04550626565307e-125	RPL36	c4
7.0149058484032e-128	1.07632069560298	0.986	0.853	2.35265912343747e-123	RPS16	c4
9.07973066088632e-125	0.973878615057506	0.998	0.878	3.04516006904805e-120	RPS7	c4
2.28894576163706e-124	-1.22230108929357	0.981	0.968	7.67666629537836e-120	GAPDH	c4
3.09876861017111e-121	1.24839175734528	0.938	0.807	1.03926501647919e-116	RPL13A	c4
1.08949025155423e-120	-2.86361477891506	0.191	0.758	3.65393240566259e-116	CTSC	c4
3.10251430901973e-118	-3.37322572480605	0.128	0.693	1.04052124895904e-113	CTSH	c4
4.12549628801646e-117	1.31352930137831	0.952	0.822	1.38360894507496e-112	RPS21	c4
3.19658712957131e-105	1.01074369993614	0.979	0.86	1.07207139151562e-100	RPSA	c4
3.51427365534025e-104	-2.64775573693853	0.172	0.687	1.17861709852801e-99	C12orf75	c4
7.37314773259804e-104	-1.3014807046589	0.977	0.956	2.47280628655873e-99	PFN1	c4
2.4960663787271e-103	0.848937262884805	0.996	0.924	8.37130742097494e-99	RPLP0	c4
1.33444036327309e-102	1.06639820460415	0.959	0.818	4.47544609034529e-98	RPL24	c4
3.21793060920294e-102	-1.26553615307923	0.694	0.886	1.07922956771448e-97	CLIC1	c4
2.13224912081197e-101	-1.10688436269095	0.926	0.953	7.15113710137918e-97	ACTG1	c4
3.36162095425692e-100	1.09607361386424	0.94	0.816	1.12742043563869e-95	RPL10A	c4
1.7558181934475e-99	-1.90413506629442	0.342	0.776	5.88866305718422e-95	TPM4	c4
1.61727295230728e-98	-1.31191695590255	0.721	0.912	5.42401002744817e-94	PKM	c4
2.00735388195814e-98	1.26664313036069	0.888	0.743	6.73226344931122e-94	PFDN5	c4
4.30962311714088e-98	-1.49472768008597	0.814	0.945	1.44536140102671e-93	CD74	c4
8.1383265860213e-98	-5.44575507879947	0.046	0.56	2.72943197041983e-93	NKG7	c4
1.527316739285e-96	-1.98317222190681	0.484	0.796	5.12231488021403e-92	TXN	c4
2.54535608240327e-96	1.15051382194992	0.925	0.774	8.53661522916408e-92	RPL22	c4
6.53063849708966e-95	-4.30849346943441	0.037	0.553	2.19024553915393e-90	CD70	c4
1.12264721308979e-93	1.11881876580237	0.915	0.82	3.76513422326053e-89	EEF1D	c4
8.5087049636427e-93	1.47590843305566	0.42	0.101	2.85364947070649e-88	CCR7	c4
2.51325387134387e-92	1.1339026603136	0.911	0.823	8.42895083371309e-88	EEF2	c4
2.80130564578103e-92	1.29778269302007	0.886	0.778	9.39501887482041e-88	SARAF	c4
2.54584916204417e-91	-1.01768031629407	0.95	0.954	8.53826891966372e-87	VIM	c4
9.42016564851126e-91	1.25059191117267	0.942	0.801	3.15933515519771e-86	IFITM1	c4
6.50766595371489e-90	-1.01798878907793	0.807	0.921	2.1825410075569e-85	CORO1A	c4
3.64260414340251e-88	-1.77919798621397	0.395	0.814	1.22165657761433e-83	FLNA	c4
6.46399056863081e-88	-1.7877131104041	0.371	0.777	2.1678931569074e-83	ANXA2	c4
2.90686240173423e-87	1.51363252903763	0.839	0.611	9.74903512293628e-83	BTG1	c4
7.70762596057877e-87	2.13980343129136	0.662	0.383	2.58498359465891e-82	NOP53	c4
1.21926184128871e-85	4.47291107878527	0.133	0.008	4.08916036331407e-81	KRT1	c4
3.31377119926481e-85	-2.16298761013367	0.193	0.686	1.11137258480943e-80	LGALS3	c4
3.62050153087533e-83	2.01102449799924	0.638	0.294	1.21424380342497e-78	MAL	c4
1.89060504326735e-82	-0.97577281720735	0.897	0.9	6.34071119411005e-78	CFL1	c4
6.17521939623358e-82	1.81755677303441	0.422	0.12	2.07104508110882e-77	SESN3	c4
1.81450728038131e-81	-1.13961784335972	0.897	0.898	6.08549451694283e-77	MYL6	c4
4.93110594785529e-78	3.64103857626167	0.234	0.039	1.65379431279171e-73	PASK	c4
2.15127545573047e-77	-1.19570565980573	0.89	0.9	7.21494762342885e-73	S100A6	c4
6.23270747402654e-77	-2.8464490738747	0.097	0.555	2.09032543263902e-72	TYMS	c4
7.11765888918501e-77	-2.3090798630426	0.451	0.747	2.38712043825487e-72	TUBA1B	c4
2.61270653538966e-76	-1.03170675706729	0.776	0.897	8.76249517838985e-72	ENO1	c4
6.48892592595809e-75	-2.92357367568256	0.074	0.528	2.17625597704782e-70	PTTG1	c4
5.70449789317667e-74	-1.34633889933266	0.536	0.846	1.91317450341359e-69	SRGN	c4
4.20664077322355e-73	-3.23484035462337	0.062	0.509	1.41082318252371e-68	MKI67	c4
1.1831464021391e-72	-2.13656494283591	0.141	0.617	3.96803640349411e-68	HLA-DPA1	c4
1.46075607761142e-72	-5.12996193759755	0.039	0.462	4.89908373309318e-68	GNLY	c4
1.72758422163373e-72	0.698414993896797	0.994	0.877	5.79397196251521e-68	RPL15	c4
2.04634809419823e-71	-2.0497997077497	0.284	0.669	6.86304223832203e-67	STMN1	c4
2.05532193404927e-71	3.47312625172662	0.133	0.011	6.89313870241445e-67	SLC40A1	c4
3.32535288790388e-71	1.41598269615206	0.778	0.636	1.1152568515452e-66	TOMM7	c4
2.8296926851677e-70	-1.57298136750855	0.466	0.826	9.49022332751542e-66	CALR	c4
1.20365220638938e-69	-2.70544860908186	0.089	0.53	4.03680876978872e-65	ID2	c4
9.62494702363553e-67	-2.16196455688231	0.072	0.513	3.22801473278688e-62	MIR4435-2HG	c4
1.82410211102363e-66	1.05822160889433	0.847	0.73	6.11767365995104e-62	RPS11	c4
3.07646864778632e-66	-2.14957968773618	0.259	0.635	1.03178605509458e-61	HMGB2	c4
3.74639790144503e-66	-5.77999361023312	0.014	0.409	1.25646692818663e-61	GZMB	c4
8.19488025256976e-66	1.45303538228303	0.576	0.267	2.74839893910685e-61	TXNIP	c4
