p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
1.82331387269938e-93	1.22744008106518	1	0.999	6.11503006625917e-89	MT-CO1	c9
2.93014747386643e-90	1.22926707314336	1	0.999	9.82712859785323e-86	MT-CO2	c9
2.14693404091349e-88	1.30517836838143	1	0.999	7.20038738641567e-84	MT-CO3	c9
9.13104837985309e-88	1.22896894289958	1	0.999	3.06237100563513e-83	MT-CYB	c9
3.0010726030092e-86	1.25528483553329	1	0.998	1.00649972959723e-81	MT-ND4L	c9
4.83628987518993e-76	1.21358803507177	1	0.996	1.6219948983412e-71	MT-ATP6	c9
1.50276762116803e-65	1.34350525840596	0.969	0.827	5.03998204787334e-61	PTPRC	c9
1.52180041651359e-62	1.21496673203677	0.992	0.968	5.10381423690329e-58	MT-ATP8	c9
1.57199589592189e-62	1.15204965747972	0.984	0.953	5.27215983574283e-58	MT-ND5	c9
2.10093571205039e-59	1.53648715482522	0.926	0.751	7.04611819107459e-55	RNF213	c9
2.55398718881646e-58	2.07455241692262	0.812	0.512	8.56556223385266e-54	ITGB1	c9
1.09376766977857e-57	1.06841331762399	0.98	0.954	3.66827801090337e-53	MT-ND3	c9
2.640120607872e-50	1.01820982010432	0.98	0.966	8.85443649468112e-46	MT-ND1	c9
3.55978580001669e-48	1.33363239406148	0.965	0.902	1.1938809616096e-43	MTRNR2L12	c9
5.17712037318369e-43	1.09874410326717	0.926	0.861	1.73630263075835e-38	MT-ND2	c9
6.42315660305502e-42	1.80348500284544	0.766	0.549	2.15419826153259e-37	ITGA4	c9
8.545414536021e-40	1.64709293571113	0.82	0.646	2.86596112709072e-35	NEAT1	c9
7.25150364029512e-39	0.874196777651895	0.957	0.943	2.43200929088218e-34	MT-ND4	c9
1.43933391509313e-38	0.867801571333173	0.992	0.995	4.82723808443933e-34	HLA-B	c9
1.6767990071467e-38	2.10177128577499	0.645	0.371	5.62364851016859e-34	SLC5A3	c9
3.10343184480243e-38	1.70208210793276	0.746	0.522	1.04082897210984e-33	TNFRSF1B	c9
3.92405929127016e-37	2.0480402536314	0.535	0.239	1.31605100510619e-32	CTLA4	c9
1.72988837838935e-34	1.50838272971498	0.762	0.598	5.80169964344221e-30	HSP90B1	c9
4.24056952276243e-33	1.62974878540892	0.629	0.362	1.42220220654406e-28	MACF1	c9
7.75608371855554e-33	1.53966195976917	0.699	0.494	2.60123535752916e-28	RNF149	c9
1.60859477690262e-32	1.58959848164265	0.754	0.519	5.39490516277602e-28	IL2RA	c9
1.36726974697918e-31	1.52900003282612	0.684	0.462	4.58554927741876e-27	TMEM173	c9
3.57298680686411e-30	1.94740166003846	0.488	0.233	1.19830831528608e-25	PHTF2	c9
4.82238419182916e-30	1.41600844085101	0.73	0.546	1.61733121025567e-25	HSPA5	c9
1.15135341026169e-29	1.38521214740949	0.66	0.435	3.86140906733566e-25	IQGAP1	c9
2.71031185631926e-29	0.82663587731957	0.973	0.986	9.08984390372352e-25	HLA-A	c9
7.41331855526644e-29	1.51792133295149	0.648	0.42	2.48627877706526e-24	CANX	c9
