p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	2.36433129540105	0.951	0.29	0	UBE2C	c1
1.31338559136361e-305	2.35571930610742	0.787	0.204	4.40483259631527e-301	CDK1	c1
1.97849235926662e-266	1.4690770023949	1	0.741	6.63546767450838e-262	TUBB	c1
1.79338940790245e-256	1.62394547309014	1	0.582	6.01466939622323e-252	STMN1	c1
6.02511192309316e-253	1.88194239848887	0.849	0.284	2.02070203676698e-248	NUSAP1	c1
6.55969297202673e-247	2.244481643647	0.637	0.147	2.19998982895832e-242	CENPA	c1
9.09557370669165e-246	1.44042477549136	0.999	0.7	3.05047350975025e-241	TUBA1B	c1
5.32922196505744e-242	1.54267628969108	0.989	0.553	1.78731446264096e-237	TUBB4B	c1
1.06559638459977e-238	1.97210322678352	0.937	0.467	3.5737971546707e-234	HIST1H4C	c1
2.32189209912388e-236	1.46863665366613	0.853	0.271	7.78716172204166e-232	TOP2A	c1
6.03446313871597e-235	1.70501918035615	0.897	0.338	2.02383824746256e-230	CKS1B	c1
5.3766886879801e-222	1.8063378281248	0.771	0.24	1.80323385217477e-217	PLK1	c1
4.73563906395041e-220	1.69953063317378	0.746	0.216	1.58823862926769e-215	CDCA8	c1
1.87171197628885e-219	2.08991484255551	0.551	0.116	6.27734762607754e-215	HJURP	c1
9.72155385896986e-211	1.7044358735358	0.887	0.378	3.26041473322131e-206	TUBA1C	c1
5.29361517668875e-209	1.82034612798283	0.695	0.2	1.77537265795787e-204	CDCA3	c1
7.6012918658029e-209	1.63841351697869	0.879	0.344	2.54932126595298e-204	H2AFX	c1
2.36777786771095e-206	1.62098761212481	0.787	0.259	7.94105341272898e-202	CCNA2	c1
6.43927161543879e-203	1.36136383918012	0.987	0.551	2.15960291438586e-198	HMGB2	c1
4.26344128948684e-202	1.54714070218667	0.917	0.418	1.4298729396681e-197	CKS2	c1
8.28077544183769e-192	1.70417625816758	0.667	0.192	2.77720646768352e-187	AURKB	c1
2.291358045168e-186	1.53329370330338	0.813	0.304	7.68475661188445e-182	BIRC5	c1
3.18762411855883e-183	1.59343063653382	0.675	0.206	1.06906537688226e-178	GTSE1	c1
1.32852973175949e-181	1.7985113843644	0.647	0.19	4.45562301437499e-177	CDKN2D	c1
3.49541651921738e-181	1.73706863807503	0.741	0.259	1.17229279221513e-176	CDKN3	c1
5.48999341143696e-180	1.26121484954226	0.8	0.29	1.84123399032773e-175	CENPF	c1
2.97498791059144e-178	1.6013936919342	0.716	0.236	9.97751445454156e-174	CCNB2	c1
6.6835782241408e-172	1.84137852494957	0.561	0.146	2.24153846481234e-167	CDKN2C	c1
2.27922640262242e-171	2.25201696890203	0.392	0.072	7.64406950911507e-167	MXD3	c1
7.53518669252312e-169	1.39356401253078	0.832	0.337	2.5271509129384e-164	ZWINT	c1
