p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
3.57541949759698e-145	1.45652216660251	0.997	0.999	1.19912419110407e-140	MT-CO3	c11
3.87853410552458e-134	1.26095728114593	0.997	1	1.30078276831083e-129	MT-CO2	c11
1.08946213979537e-132	1.33122806012674	0.997	0.998	3.6538381244457e-128	MT-ND4L	c11
5.28737560633569e-130	1.43043838038755	0.997	0.978	1.77328003085286e-125	MT-ATP8	c11
2.5569052452106e-128	1.21878101598386	0.997	1	8.5753488113873e-124	MT-CO1	c11
9.24737667577116e-127	1.2909825881583	0.997	0.997	3.10138518952013e-122	MT-ATP6	c11
1.97669200555441e-122	1.46317921414397	0.982	0.977	6.62942964822838e-118	MT-ND1	c11
1.48722019408079e-116	1.09492557876013	0.997	0.999	4.98783908690816e-112	MT-CYB	c11
4.27160441664733e-112	-1.92565693243101	0.749	0.896	1.43261068925518e-107	TPT1	c11
4.91093226899941e-108	-2.02890274051155	0.673	0.865	1.64702846437702e-103	RPS14	c11
1.35400685413109e-105	-1.75794646071923	0.898	0.925	4.54106818738485e-101	RPLP1	c11
1.00995186165277e-103	1.78596164918453	0.924	0.721	3.38717655361105e-99	MT-ND6	c11
2.73993253557416e-103	1.19965749889014	0.99	0.965	9.1891857378086e-99	MT-ND5	c11
1.69320360601915e-100	-1.77513056911216	0.934	0.952	5.67866625386702e-96	TMSB4X	c11
2.59939129377909e-100	-1.9166665335548	0.576	0.846	8.71783852107631e-96	RPS15A	c11
2.76973210661515e-100	-1.92313210306674	0.726	0.89	9.2891275391659e-96	RPS12	c11
1.88001221366904e-99	-1.87474141523365	0.66	0.867	6.30518496220323e-95	RPL30	c11
1.23396580819904e-98	-2.19122110394733	0.482	0.822	4.13847452753795e-94	RPL39	c11
9.4911779224041e-98	-1.61538444424114	0.85	0.907	3.18315125161589e-93	RPL41	c11
1.10517701824785e-95	-1.93972715060452	0.576	0.837	3.70654268379964e-91	RPS28	c11
4.45941098691905e-93	-1.53568536669843	0.827	0.913	1.49559725679291e-88	RPL10	c11
4.88832421831473e-93	-1.76097334374234	0.617	0.855	1.63944617633839e-88	RPS13	c11
1.22952401381539e-91	1.12853278095811	0.98	0.91	4.12357763753404e-87	MT-ND2	c11
1.79716893318543e-89	0.983194049452998	0.99	0.97	6.02734516811728e-85	MT-ND3	c11
3.85419627476604e-89	-1.84222510209291	0.508	0.805	1.29262034663103e-84	HINT1	c11
1.13482349457637e-88	-1.99956588095701	0.548	0.837	3.80597103611023e-84	RPL34	c11
8.99131750262038e-88	-1.50131747854094	0.822	0.897	3.01550806402882e-83	RPL28	c11
2.94125578839874e-87	1.06112709548456	0.97	0.959	9.86438366313168e-83	MT-ND4	c11
4.30847505852603e-87	-1.67132825981855	0.624	0.84	1.44497636512846e-82	RPS25	c11
3.18158713773129e-86	-1.5652285456973	0.764	0.868	1.06704069425232e-81	RPS23	c11
2.04783188826675e-85	-1.59660814504752	0.756	0.868	6.86801858686904e-81	RPL32	c11
2.82133737093219e-85	-1.54872753656555	0.805	0.88	9.46220127463237e-81	RPL18A	c11
3.36906767181279e-85	-1.50885297654703	0.749	0.88	1.12991791577257e-80	RPS27A	c11
1.06788297559431e-84	-1.45332408683241	0.807	0.884	3.58146592354819e-80	RPL11	c11
1.28840763096012e-84	-1.93437528827894	0.546	0.837	4.32106151271405e-80	RPS27	c11
1.15128505701719e-83	-1.28892748582656	0.794	0.888	3.86117982422424e-79	RPL18	c11
3.56173327170788e-83	-1.20181763239017	0.931	0.974	1.19453410466539e-78	B2M	c11
4.1020904284075e-83	-1.85189294180932	0.698	0.866	1.37575908787931e-78	FTH1	c11
5.56855391394407e-83	-1.48150400334582	0.683	0.851	1.86758161165856e-78	FAU	c11
9.56272094103769e-83	-1.59516539076601	0.668	0.847	3.20714534920522e-78	RPL12	c11
1.32650193114706e-82	-1.36866691370771	0.706	0.862	4.448822176681e-78	RPL15	c11
1.39798055720675e-82	-1.74983930899195	0.685	0.864	4.68854719276001e-78	SH3BGRL3	c11
2.74138216843748e-79	-1.46951066829223	0.703	0.86	9.19404751650561e-75	RPS3A	c11
8.07565821872319e-79	-1.59381541630558	0.891	0.921	2.70841425339538e-74	S100A4	c11
1.49987209823463e-78	-1.32998289505801	0.855	0.906	5.0302710430593e-74	RPS19	c11
2.2586733087371e-78	-1.28682694284614	0.898	0.909	7.5751385428425e-74	RPLP0	c11
2.65276648874068e-78	-1.32605518636915	0.734	0.854	8.8968482499385e-74	RPS24	c11
4.80958392524849e-78	-1.32203763480158	0.835	0.893	1.61303825684984e-73	RPS4X	c11
7.26644480622714e-78	-1.39163864776999	0.746	0.866	2.43702025911246e-73	RPL29	c11
1.42225713763729e-77	-1.3349658674774	0.734	0.865	4.76996598820795e-73	RPS7	c11
3.43936264176347e-76	-1.42330859372741	0.708	0.844	1.15349344279463e-71	RPLP2	c11
4.44820783268168e-76	-1.57833201331957	0.607	0.824	1.49183994292478e-71	RPL35A	c11
7.57216812508508e-76	-1.28652476569919	0.85	0.896	2.53955374579104e-71	RPL13	c11
8.19182291429076e-76	-1.30589091537895	0.843	0.898	2.74737356899484e-71	RPL19	c11
7.1574683639014e-75	-1.21968369266252	0.848	0.908	2.40047173988525e-70	RPS3	c11
3.29546928617835e-74	-1.77536468473029	0.812	0.893	1.1052344891985e-69	FTL	c11
1.80090747403465e-73	-1.41926062218215	0.546	0.815	6.03988348641741e-69	UBA52	c11
1.26289821908743e-72	-1.29141903866301	0.769	0.863	4.23550804717542e-68	RPL14	c11
1.5757801008951e-72	-1.36031969664965	0.698	0.844	5.28485130238198e-68	RPS16	c11
1.68190558686506e-72	-1.38846022961889	0.624	0.838	5.64077495722804e-68	NACA	c11
4.7367985008203e-72	-1.31124968996201	0.799	0.888	1.58862748120511e-67	RPS8	c11
5.72802604924468e-72	-1.36007485697884	0.65	0.853	1.92106537639568e-67	RPL6	c11
7.99627193865983e-72	-1.69561778511912	0.34	0.753	2.68178968278773e-67	ATP5F1E	c11
1.18981668429376e-71	-1.63736633688976	0.434	0.768	3.99040719578441e-67	ATP5MG	c11
1.65481255781077e-71	-1.32669517980333	0.614	0.826	5.54991035638576e-67	SERF2	c11
2.2693421287824e-71	-1.49295151537106	0.591	0.828	7.61091963151041e-67	RPL37	c11
1.81974562520466e-70	-1.38615957288592	0.655	0.833	6.1030628778114e-66	RPL23A	c11
5.24728767533614e-70	-2.12828539523731	0.249	0.693	1.75983534055424e-65	OST4	c11
2.20665504851876e-69	-1.69330787627645	0.475	0.776	7.40067970172222e-65	RPL22	c11
5.04329904661482e-69	-1.14916717220498	0.827	0.876	1.69142163425368e-64	RPS15	c11
1.40313405665334e-66	-1.33195829919258	0.574	0.822	4.70583099920397e-62	RAC2	c11
1.40500596956381e-66	-1.40661432676477	0.571	0.809	4.71210902072311e-62	RPL24	c11
1.59560301178339e-66	1.50635655262032	0.772	0.481	5.35133338091913e-62	MKI67	c11
6.25157324204261e-66	-1.23205025769438	0.797	0.864	2.09665263391625e-61	RPS6	c11
1.77564019709122e-65	-1.17259893966376	0.769	0.876	5.95514209300454e-61	RPL7A	c11
1.58978269742986e-64	-1.44348122552251	0.551	0.813	5.33181321064026e-60	RPL21	c11
2.40705978513371e-64	-2.23247875688233	0.157	0.632	8.07279710738142e-60	GABARAP	c11
8.72475209039299e-64	-1.11478149730372	0.817	0.881	2.926107356076e-59	RPL8	c11
1.03317391996862e-63	-1.23021612776398	0.782	0.876	3.46505869279074e-59	RPS18	c11
1.44703238497242e-63	-1.41338938941845	0.482	0.786	4.85305721272049e-59	RPL36AL	c11
7.23789560299398e-63	-1.24469147955688	0.967	0.936	2.42744542733212e-58	PFN1	c11
8.62000266676923e-63	0.789491296318721	0.975	0.927	2.89097649438107e-58	MTRNR2L12	c11
9.63833020256421e-63	-1.85251702120098	0.277	0.698	3.23250318333599e-58	UQCRB	c11
1.11234847641069e-62	1.52302242380562	0.871	0.784	3.73059432018617e-58	HSP90AB1	c11
3.10059211351269e-62	-1.41269271892237	0.47	0.774	1.03987658302989e-57	SUMO2	c11
8.92712809321956e-62	-1.40820793035649	0.558	0.811	2.99398021990398e-57	RPL9	c11
2.04150670391087e-61	-1.20513131075223	0.911	0.94	6.84680518357629e-57	TMSB10	c11
2.82715956453804e-61	-1.32339105207048	0.553	0.8	9.48172774754768e-57	H3F3A	c11
6.96712847960067e-61	-1.29955596715909	0.467	0.772	2.33663554948847e-56	SRP14	c11
1.25377294544698e-60	-1.32382557095996	0.596	0.81	4.20490370444009e-56	RPL36	c11
3.27028002481186e-60	-1.61101659738743	0.353	0.758	1.0967865147214e-55	PSME1	c11
3.13315519090849e-59	-1.44272704370925	0.467	0.752	1.05079758792689e-54	ATP5MC2	c11
6.66671377223484e-59	-1.28573822664733	0.536	0.793	2.23588246493212e-54	BTF3	c11
7.16350480734812e-59	-1.62339217423637	0.251	0.694	2.40249624228841e-54	PPDPF	c11
9.89799846903931e-59	-2.08043707159719	0.216	0.653	3.3195907265464e-54	RPS27L	c11
2.8193015709306e-58	-1.30238669059448	0.457	0.78	9.45537360858706e-54	OAZ1	c11
5.41134144947216e-58	-1.16738121395758	0.713	0.845	1.81485569532397e-53	ARHGDIB	c11
4.17504525912141e-57	-1.66053071941725	0.269	0.682	1.40022667900414e-52	PRR13	c11
4.95634056309261e-57	1.40330321737538	0.827	0.658	1.66225749805e-52	HNRNPU	c11
6.48186463247394e-57	-1.84735267926267	0.244	0.659	2.17388776043911e-52	BRK1	c11
2.04213802932914e-56	-1.83814213801009	0.198	0.653	6.84892252276409e-52	TOMM7	c11
2.91669543419333e-56	-1.06131926425407	0.949	0.951	9.78201314719758e-52	EEF1A1	c11
7.51997104672545e-55	1.42518454997466	0.83	0.696	2.52204788965078e-50	NCL	c11
4.02108163612781e-54	-1.25010139814599	0.594	0.808	1.34859035912454e-49	RPL10A	c11
6.83253989672785e-54	-1.42578376824857	0.548	0.791	2.29149723056459e-49	S100A11	c11
8.30026818278859e-54	-1.4088546535931	0.548	0.795	2.78374394314364e-49	EEF1B2	c11
8.76494436750426e-54	-1.24450505121149	0.609	0.79	2.93958704197358e-49	RPS26	c11
1.16657499302741e-53	-1.10634835266091	0.66	0.849	3.91245921161534e-49	MYL12A	c11
2.27750231762898e-53	-1.86517905018665	0.193	0.638	7.63828727286407e-49	ATP6V1G1	c11
