Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Parkinson disease	110/249	6.11631509291108e-45	1.83489452787332e-42	7.4698845574703	760.474356588388	PSMC4;PSMC5;PSMC2;PSMC3;BAX;PSMC1;UQCRC1;CALM2;CALM3;CALM1;UQCR10;UQCR11;UBE2L6;UBE2L3;PSMD7;PSMD8;PSMD4;COX8A;XBP1;COX7A2L;TXN;UBE2J2;TUBB;ATP5F1D;ATP5F1E;COX6C;UBE2G1;COX7C;COX7B;ATP5PF;ATP5PD;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA3;NDUFAB1;COX5A;NDUFA12;NDUFA10;TUBA1A;COX5B;GNAI2;PSMA8;GNAI3;PSMB7;TUBA1C;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;SDHC;TUBA4A;UQCRQ;PPIF;NDUFB11;NDUFB10;PARK7;COX6A1;NDUFV2;NDUFV1;SEM1;GNAS;TXN2;UQCRB;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;UBB;CYC1;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;CYCS;PSMD11;NDUFB9;PSMD13;SLC25A4;NDUFB7;NDUFB6;PSMD14;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRFS1;COX4I1;NDUFA8;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;VDAC3;VDAC2;UBA52;SLC25A5	1	KEGG_2021_Human
Huntington disease	113/306	4.5630158834198e-37	6.8445238251297e-35	5.51862843788829	461.785939797302	PSMC4;PSMC5;PSMC2;PSMC3;TBPL1;BAX;PSMC1;UQCRC1;UQCR10;UQCR11;PSMD7;PSMD8;CREB3L2;PSMD4;AP2S1;COX8A;COX7A2L;TUBB;ATP5F1D;ATP5F1E;COX6C;COX7C;COX7B;CLTB;ACTR1A;ATP5PF;ATP5PD;AP2B1;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA3;NDUFAB1;PLCB1;COX5A;NDUFA12;NDUFA10;TUBA1A;COX5B;PSMA8;PSMB7;TUBA1C;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;SDHC;TUBA4A;UQCRQ;PPIF;NDUFB11;NDUFB10;COX6A1;NDUFV2;NDUFV1;SEM1;UQCRB;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;AP2M1;GPX7;WIPI1;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;CYCS;PSMD11;NDUFB9;PSMD13;SLC25A4;NDUFB7;NDUFB6;PSMD14;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRFS1;COX4I1;NDUFA8;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;VDAC3;VDAC2;SLC25A5;DCTN3;DCTN1;POLR2C;POLR2E;POLR2F;POLR2G;POLR2I;POLR2K;POLR2L	2	KEGG_2021_Human
Amyotrophic lateral sclerosis	122/364	4.3522747798122e-35	4.3522747798122e-33	4.76136803235449	376.718389354785	BAD;MAPK13;PSMC4;PSMC5;PSMC2;PSMC3;BAX;PSMC1;UQCRC1;PFN1;UQCR10;UQCR11;ACTB;PSMD7;PSMD8;PSMD4;COX8A;GABARAPL2;GABARAPL1;XBP1;COX7A2L;GABARAP;NUP62;SEC13;TUBB;ATP5F1D;ATP5F1E;COX6C;COX7C;COX7B;ACTR1A;ATP5PF;ATP5PD;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;HNRNPA2B1;PSMA3;NDUFAB1;COX5A;NDUFA12;NDUFA10;TUBA1A;COX5B;PSMA8;PSMB7;TUBA1C;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;RAB8A;RAC1;BID;SDHC;TUBA4A;UQCRQ;SRSF3;SRSF7;NDUFB11;NDUFB10;TNF;TANK;COX6A1;NDUFV2;NDUFV1;MAP2K3;NUP153;SEM1;UQCRB;ACTG1;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;GPX7;WIPI1;NDUFC1;TNFRSF1A;NUP50;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;CYCS;PSMD11;NDUFB9;PSMD13;NDUFB7;NDUFB6;PSMD14;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRFS1;COX4I1;CASP1;NDUFA8;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ANXA11;UQCRHL;NUP37;NXT1;DCTN3;DCTN1;HNRNPA3	3	KEGG_2021_Human
Prion disease	103/273	8.20285875623949e-35	6.15214406717962e-33	5.68808351144565	446.434897067632	BAD;MAPK13;PSMC4;PSMC5;PSMC2;PSMC3;BAX;PSMC1;UQCRC1;UQCR10;UQCR11;PSMD7;PSMD8;CREB3L2;PSMD4;COX8A;COX7A2L;TUBB;ATP5F1D;ATP5F1E;COX6C;COX7C;COX7B;STIP1;ATP5PF;ATP5PD;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA3;NDUFAB1;COX5A;NDUFA12;NDUFA10;TUBA1A;COX5B;PSMA8;PSMB7;TUBA1C;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;RAC1;RAC2;SDHC;TUBA4A;UQCRQ;PPIF;NDUFB11;NDUFB10;TNF;COX6A1;NDUFV2;NDUFV1;SEM1;UQCRB;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;CYCS;PSMD11;NDUFB9;PSMD13;SLC25A4;NDUFB7;NDUFB6;PSMD14;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRFS1;COX4I1;NDUFA8;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;VDAC3;VDAC2;SLC25A5;PIK3CD;CCL5	4	KEGG_2021_Human
Oxidative phosphorylation	66/133	3.55468810587743e-31	2.13281286352646e-29	9.12364314789688	639.675687396703	SDHC;UQCRQ;UQCRC1;NDUFB11;NDUFB10;UQCR10;UQCR11;COX6A1;NDUFV2;NDUFV1;COX8A;ATP6V0C;ATP6V0B;COX7A2L;ATP6V1B2;ATP6V1D;COX17;UQCRB;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;ATP6V1F;CYC1;NDUFC1;ATP5F1D;ATP5F1E;COX6C;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;ATP5ME;COX7C;NDUFB9;COX7B;NDUFB7;NDUFB6;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRFS1;COX4I1;ATP5MG;ATP5MF;ATP5PF;NDUFA8;ATP5PD;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6B1;UQCRHL;NDUFAB1;COX5A;NDUFA12;NDUFA10;COX5B;ATP5F1C	5	KEGG_2021_Human
Alzheimer disease	113/369	1.29611563575792e-28	5.70643184382539e-27	4.14580714002118	266.214758593722	BAD;PSMC4;PSMC5;PSMC2;PSMC3;PSMC1;UQCRC1;CALM2;CALM3;CALM1;UQCR10;UQCR11;PSMD7;PSMD8;PSMD4;COX8A;XBP1;COX7A2L;TUBB;ATP5F1D;ATP5F1E;COX6C;COX7C;COX7B;FADD;ATP5PF;ATP5PD;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA3;NDUFAB1;PLCB1;COX5A;NDUFA12;NDUFA10;TUBA1A;COX5B;PSMA8;PSMB7;TUBA1C;ATP5F1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;HRAS;BID;SDHC;TUBA4A;UQCRQ;PPIF;NDUFB11;NDUFB10;TNF;COX6A1;CAPN2;NDUFV2;NDUFV1;SEM1;UQCRB;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;EIF2AK2;WIPI1;NDUFC1;TNFRSF1A;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;CYCS;PSMD11;NDUFB9;PSMD13;SLC25A4;NDUFB7;NDUFB6;PSMD14;NDUFB4;NDUFB3;NDUFB2;NDUFB1;APH1A;CASP7;UQCRFS1;COX4I1;NDUFA8;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;VDAC3;VDAC2;SLC25A5;GAPDH;ATP2A3;PIK3CD;HSD17B10	6	KEGG_2021_Human
Pathways of neurodegeneration	132/475	1.33150076355926e-28	5.70643184382539e-27	3.63333904990568	233.20977604259	BAD;PSMC4;PSMC5;PSMC2;PSMC3;BAX;PSMC1;UQCRC1;PSMD7;PSMD8;PSMD4;GABARAPL2;GABARAPL1;PRKCB;GABARAP;TUBB4B;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA3;PLCB1;NDUFA12;NDUFA10;TUBA1A;PSMA8;PSMB7;TUBA1C;PSMB6;TUBA1B;PSMB3;PSMB1;PSMB2;BID;TUBA4A;UQCRQ;PARK7;TNF;TANK;MAP2K3;UQCRB;FASLG;UQCRH;GPX7;WIPI1;NDUFC1;TNFRSF1A;NDUFB9;SLC25A4;NDUFB7;NDUFB6;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX4I1;NDUFA8;NDUFA6;NDUFA5;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UBA52;SLC25A5;HSD17B10;BAK1;MAPK13;CALM2;CALM3;CALM1;UQCR10;UQCR11;UBE2L6;UBE2L3;COX8A;XBP1;COX7A2L;UBE2J2;TUBB;ATP5F1D;ATP5F1E;COX6C;UBE2G1;COX7C;COX7B;ACTR1A;FADD;ATP5PF;ATP5PD;NDUFAB1;COX5A;COX5B;ATP5F1C;RAB8A;HRAS;RAC1;SDHC;PPIF;NDUFB11;NDUFB10;COX6A1;CAPN2;NDUFV2;NDUFV1;SEM1;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UBB;CYC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;CYCS;PSMD11;PSMD13;PSMD14;CASP7;UQCRFS1;UQCRHL;VDAC3;VDAC2;DCTN3;ATP2A3;DCTN1	7	KEGG_2021_Human
Diabetic cardiomyopathy	78/203	2.96666409631688e-27	1.11249903611883e-25	5.79664864864865	354.072976009559	MAPK13;UQCRC1;UQCR10;UQCR11;COX8A;PRKCB;COX7A2L;PDK3;ATP5F1D;ATP5F1E;COX6C;COX7C;COX7B;ATP5PF;ATP5PD;COX6B1;NDUFAB1;PLCB1;COX5A;NDUFA12;NDUFA10;COX5B;ATP5F1C;RAC1;RAC2;TGFB1;G6PD;GSR;SDHC;PPP1CA;UQCRQ;PPIF;NDUFB11;NDUFB10;COX6A1;NDUFV2;NDUFV1;SMAD2;UQCRB;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;MPC1;MPC2;CYC1;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFB9;SLC25A4;NDUFB7;NDUFB6;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRFS1;COX4I1;NDUFA8;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;VDAC3;VDAC2;SLC25A5;GAPDH;ATP2A3;PIK3CD	8	KEGG_2021_Human
Thermogenesis	82/232	1.06271960930497e-25	3.54239869768323e-24	5.08172222222222	292.218318164462	PRKAB1;MAPK13;SMARCA4;UQCRC1;SMARCB1;UQCR10;UQCR11;ACTB;CREB3L2;COX8A;COX7A2L;NDUFAF8;NDUFAF3;SIRT6;ATP5F1D;ATP5F1E;COX6C;ATP5ME;COX7C;COX7B;ATP5MG;ATP5MF;ATP5PF;ATP5PD;COX6B1;NDUFAB1;COX5A;NDUFA12;NDUFA10;COX5B;ATP5F1C;HRAS;SDHC;UQCRQ;COX20;NDUFB11;NDUFB10;COX6A1;NDUFV2;NDUFV1;MAP2K3;RHEB;GNAS;COX17;COX16;UQCRB;ACTG1;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;COA4;COA3;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFB9;NDUFB7;NDUFB6;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRFS1;COX4I1;NDUFA8;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;RPS6KB2;RPS6KA1;RPS6KA3	9	KEGG_2021_Human
Non-alcoholic fatty liver disease	65/155	1.87734378602499e-25	5.63203135807497e-24	6.67710663683818	380.159526806798	TGFB1;PRKAB1;SDHC;MAPK13;UQCRQ;BAX;UQCRC1;NDUFB11;NDUFB10;UQCR10;TNF;UQCR11;COX6A1;NDUFV2;NDUFV1;COX8A;XBP1;COX7A2L;UQCRB;FASLG;COX7A2;UQCRH;CYC1;NDUFC1;COX6C;TNFRSF1A;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;CYCS;COX7C;NDUFB9;COX7B;NDUFB7;NDUFB6;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ADIPOR1;ADIPOR2;CASP7;UQCRFS1;COX4I1;NDUFA8;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6B1;CDC42;UQCRHL;NDUFAB1;COX5A;NDUFA12;NDUFA10;PIK3CD;COX5B;RAC1;BID	10	KEGG_2021_Human
